Location,Habitat,lat,lon,Year,Month,Day,Temperature
Moorea,Back Reef,-17.481,-149.841,2005,April,30,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,1,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,2,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,3,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,4,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,5,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,6,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,7,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,8,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,9,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,10,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,11,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,12,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,13,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,14,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,15,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,16,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,17,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,18,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,19,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,20,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,21,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,22,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,23,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,24,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,25,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,26,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,27,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,28,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,29,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,30,nd
Moorea,Back Reef,-17.481,-149.841,2005,May,31,28.555
Moorea,Back Reef,-17.481,-149.841,2005,June,1,27.780
Moorea,Back Reef,-17.481,-149.841,2005,June,2,27.708
Moorea,Back Reef,-17.481,-149.841,2005,June,3,27.739
Moorea,Back Reef,-17.481,-149.841,2005,June,4,27.599
Moorea,Back Reef,-17.481,-149.841,2005,June,5,27.567
Moorea,Back Reef,-17.481,-149.841,2005,June,6,27.568
Moorea,Back Reef,-17.481,-149.841,2005,June,7,27.399
Moorea,Back Reef,-17.481,-149.841,2005,June,8,27.048
Moorea,Back Reef,-17.481,-149.841,2005,June,9,26.653
Moorea,Back Reef,-17.481,-149.841,2005,June,10,26.320
Moorea,Back Reef,-17.481,-149.841,2005,June,11,26.447
Moorea,Back Reef,-17.481,-149.841,2005,June,12,26.130
Moorea,Back Reef,-17.481,-149.841,2005,June,13,27.158
Moorea,Back Reef,-17.481,-149.841,2005,June,14,27.209
Moorea,Back Reef,-17.481,-149.841,2005,June,15,27.216
Moorea,Back Reef,-17.481,-149.841,2005,June,16,27.206
Moorea,Back Reef,-17.481,-149.841,2005,June,17,27.357
Moorea,Back Reef,-17.481,-149.841,2005,June,18,27.363
Moorea,Back Reef,-17.481,-149.841,2005,June,19,27.391
Moorea,Back Reef,-17.481,-149.841,2005,June,20,27.439
Moorea,Back Reef,-17.481,-149.841,2005,June,21,27.205
Moorea,Back Reef,-17.481,-149.841,2005,June,22,27.277
Moorea,Back Reef,-17.481,-149.841,2005,June,23,27.465
Moorea,Back Reef,-17.481,-149.841,2005,June,24,27.172
Moorea,Back Reef,-17.481,-149.841,2005,June,25,26.653
Moorea,Back Reef,-17.481,-149.841,2005,June,26,26.796
Moorea,Back Reef,-17.481,-149.841,2005,June,27,27.052
Moorea,Back Reef,-17.481,-149.841,2005,June,28,27.518
Moorea,Back Reef,-17.481,-149.841,2005,June,29,27.312
Moorea,Back Reef,-17.481,-149.841,2005,June,30,27.163
Moorea,Back Reef,-17.481,-149.841,2005,July,1,27.354
Moorea,Back Reef,-17.481,-149.841,2005,July,2,27.329
Moorea,Back Reef,-17.481,-149.841,2005,July,3,27.108
Moorea,Back Reef,-17.481,-149.841,2005,July,4,27.122
Moorea,Back Reef,-17.481,-149.841,2005,July,5,27.313
Moorea,Back Reef,-17.481,-149.841,2005,July,6,27.394
Moorea,Back Reef,-17.481,-149.841,2005,July,7,27.120
Moorea,Back Reef,-17.481,-149.841,2005,July,8,26.752
Moorea,Back Reef,-17.481,-149.841,2005,July,9,27.093
Moorea,Back Reef,-17.481,-149.841,2005,July,10,27.286
Moorea,Back Reef,-17.481,-149.841,2005,July,11,27.251
Moorea,Back Reef,-17.481,-149.841,2005,July,12,27.253
Moorea,Back Reef,-17.481,-149.841,2005,July,13,27.033
Moorea,Back Reef,-17.481,-149.841,2005,July,14,27.030
Moorea,Back Reef,-17.481,-149.841,2005,July,15,26.988
Moorea,Back Reef,-17.481,-149.841,2005,July,16,27.079
Moorea,Back Reef,-17.481,-149.841,2005,July,17,26.932
Moorea,Back Reef,-17.481,-149.841,2005,July,18,26.831
Moorea,Back Reef,-17.481,-149.841,2005,July,19,26.819
Moorea,Back Reef,-17.481,-149.841,2005,July,20,26.933
Moorea,Back Reef,-17.481,-149.841,2005,July,21,27.221
Moorea,Back Reef,-17.481,-149.841,2005,July,22,27.144
Moorea,Back Reef,-17.481,-149.841,2005,July,23,26.909
Moorea,Back Reef,-17.481,-149.841,2005,July,24,26.862
Moorea,Back Reef,-17.481,-149.841,2005,July,25,26.836
Moorea,Back Reef,-17.481,-149.841,2005,July,26,26.737
Moorea,Back Reef,-17.481,-149.841,2005,July,27,26.812
Moorea,Back Reef,-17.481,-149.841,2005,July,28,27.047
Moorea,Back Reef,-17.481,-149.841,2005,July,29,27.007
Moorea,Back Reef,-17.481,-149.841,2005,July,30,27.056
Moorea,Back Reef,-17.481,-149.841,2005,July,31,26.839
Moorea,Back Reef,-17.481,-149.841,2005,August,1,26.123
Moorea,Back Reef,-17.481,-149.841,2005,August,2,26.603
Moorea,Back Reef,-17.481,-149.841,2005,August,3,26.968
Moorea,Back Reef,-17.481,-149.841,2005,August,4,27.020
Moorea,Back Reef,-17.481,-149.841,2005,August,5,26.986
Moorea,Back Reef,-17.481,-149.841,2005,August,6,27.089
Moorea,Back Reef,-17.481,-149.841,2005,August,7,26.962
Moorea,Back Reef,-17.481,-149.841,2005,August,8,26.978
Moorea,Back Reef,-17.481,-149.841,2005,August,9,27.189
Moorea,Back Reef,-17.481,-149.841,2005,August,10,27.173
Moorea,Back Reef,-17.481,-149.841,2005,August,11,26.875
Moorea,Back Reef,-17.481,-149.841,2005,August,12,26.685
Moorea,Back Reef,-17.481,-149.841,2005,August,13,25.918
Moorea,Back Reef,-17.481,-149.841,2005,August,14,25.476
Moorea,Back Reef,-17.481,-149.841,2005,August,15,26.517
Moorea,Back Reef,-17.481,-149.841,2005,August,16,26.634
Moorea,Back Reef,-17.481,-149.841,2005,August,17,26.872
Moorea,Back Reef,-17.481,-149.841,2005,August,18,26.901
Moorea,Back Reef,-17.481,-149.841,2005,August,19,26.808
Moorea,Back Reef,-17.481,-149.841,2005,August,20,26.240
Moorea,Back Reef,-17.481,-149.841,2005,August,21,25.662
Moorea,Back Reef,-17.481,-149.841,2005,August,22,26.595
Moorea,Back Reef,-17.481,-149.841,2005,August,23,27.016
Moorea,Back Reef,-17.481,-149.841,2005,August,24,27.259
Moorea,Back Reef,-17.481,-149.841,2005,August,25,27.339
Moorea,Back Reef,-17.481,-149.841,2005,August,26,26.557
Moorea,Back Reef,-17.481,-149.841,2005,August,27,26.570
